3D Printing Zone
"Lights, Camera, Action with Blackmagic Design"
Coding Zone
Computing Zone
Engineering Technology Centre
Exploring the Nucleus Zone
Innovation Centre
Particles and Light Zone
Space Zone
Super Powered Microscopes
Talks and Virtual Tours
The Wonder Marquee
Particle Accelerator Zone A
Particle Accelerator Zone B
